Institution Name,Location Classification,Program Type,Land Area (Acres),Number of Classrooms,Number of Tutorial Rooms,Number of PG Labs,Number of Workshops,Computer Center Area (sqm),Library Area (sqm),Seminar Hall Area (sqm),Total Student Intake,Approval Status
Institution_2058,Rural,PG,9.85,12,3,30,6,270,600,132,310,Not Approved
Institution_2238,Rural,Diploma,5.68,20,5,0,5,256,550,132,239,Approved
Institution_2391,Rural,UG,12.58,12,3,0,3,285,600,132,284,Approved
Institution_6338,Rural,PG,7.82,16,4,40,16,212,400,132,591,Not Approved
Institution_9229,Non-Rural,Diploma,0.88,4,1,0,2,154,550,132,245,Not Approved
Institution_9945,Non-Rural,PG,2.99,12,3,30,6,217,650,132,400,Approved
Institution_7811,Non-Rural,PG,2.66,16,4,40,8,69,650,132,345,Not Approved
Institution_1670,Non-Rural,Diploma,1.47,4,1,0,2,209,500,132,160,Not Approved
Institution_4157,Rural,Combined,10.25,12,3,30,12,220,550,132,239,Approved
Institution_3703,Non-Rural,Combined,4.11,8,2,20,2,58,550,132,367,Not Approved
Institution_7109,Non-Rural,UG,3.49,4,1,0,1,155,600,132,468,Approved
Institution_4807,Non-Rural,Diploma,1.62,16,4,0,12,144,550,132,453,Not Approved
Institution_8828,Non-Rural,Combined,1.8,12,3,30,12,210,400,132,482,Approved
Institution_7677,Rural,PG,8.22,12,3,30,3,97,650,132,311,Not Approved
Institution_8698,Rural,UG,11.24,20,5,0,15,151,550,132,223,Approved
Institution_7730,Non-Rural,Diploma,0.89,20,5,0,15,300,450,132,288,Not Approved
Institution_5058,Rural,Combined,6.4,12,3,30,9,163,550,132,467,Approved
Institution_4552,Rural,Combined,14.63,4,1,10,2,128,450,132,186,Not Approved
Institution_7101,Non-Rural,UG,1.53,8,2,0,4,127,650,132,329,Not Approved
Institution_7745,Rural,Combined,14.78,8,2,20,4,287,650,132,401,Approved
Institution_4852,Rural,Diploma,8.68,8,2,0,2,72,650,132,199,Not Approved
Institution_3610,Non-Rural,Combined,3.2,12,3,30,9,86,600,132,450,Not Approved
Institution_1413,Non-Rural,Diploma,0.71,20,5,0,10,70,550,132,170,Not Approved
Institution_9264,Non-Rural,Diploma,1.31,20,5,0,5,153,500,132,143,Not Approved
Institution_9749,Non-Rural,Diploma,1.43,4,1,0,4,242,500,132,466,Not Approved
Institution_1992,Non-Rural,UG,4.62,16,4,0,12,82,500,132,519,Not Approved
Institution_9065,Non-Rural,Diploma,1.1,4,1,0,1,187,550,132,474,Not Approved
Institution_5245,Rural,Diploma,6.26,4,1,0,3,235,400,132,197,Approved
Institution_5290,Rural,Diploma,8.29,12,3,0,3,85,450,132,416,Not Approved
Institution_4088,Non-Rural,Combined,4.73,4,1,10,2,247,500,132,532,Approved
Institution_8229,Non-Rural,UG,2.45,12,3,0,3,94,600,132,382,Not Approved
Institution_2962,Rural,UG,14.4,4,1,0,1,293,500,132,452,Approved
Institution_1136,Non-Rural,PG,3.36,4,1,10,2,121,550,132,126,Not Approved
Institution_3218,Rural,PG,13.21,20,5,50,5,216,400,132,470,Approved
Institution_2867,Rural,UG,7.88,20,5,0,20,93,550,132,423,Not Approved
Institution_1280,Rural,PG,7.69,16,4,40,4,168,600,132,257,Not Approved
Institution_6722,Non-Rural,Diploma,1.48,8,2,0,2,248,500,132,130,Not Approved
Institution_3059,Non-Rural,UG,3.89,16,4,0,16,116,650,132,257,Not Approved
Institution_1461,Non-Rural,Diploma,1.0,8,2,0,2,79,650,132,433,Not Approved
Institution_2889,Rural,PG,9.6,4,1,10,1,193,450,132,416,Not Approved
Institution_2653,Rural,PG,6.33,12,3,30,6,212,400,132,148,Not Approved
Institution_8525,Rural,Combined,5.5,8,2,20,6,106,400,132,394,Not Approved
Institution_4978,Rural,Combined,10.41,16,4,40,16,206,500,132,321,Approved
Institution_5287,Rural,PG,6.5,4,1,10,4,229,450,132,427,Not Approved
Institution_9992,Non-Rural,UG,3.18,4,1,0,3,58,550,132,309,Not Approved
Institution_2208,Rural,UG,7.95,8,2,0,6,200,650,132,146,Not Approved
Institution_6921,Rural,Diploma,2.37,8,2,0,2,168,400,132,166,Not Approved
Institution_5495,Non-Rural,Combined,2.63,12,3,30,9,101,650,132,100,Not Approved
Institution_1772,Non-Rural,PG,3.17,4,1,10,1,142,550,132,497,Not Approved
Institution_7645,Rural,UG,9.43,20,5,0,15,74,600,132,425,Not Approved
Institution_3605,Non-Rural,Diploma,1.56,20,5,0,5,236,500,132,572,Approved
Institution_6218,Rural,UG,10.94,12,3,0,6,198,650,132,477,Approved
Institution_8349,Rural,PG,13.02,8,2,20,8,197,450,132,243,Approved
Institution_9353,Rural,PG,13.96,4,1,10,3,205,400,132,281,Approved
Institution_5275,Rural,Combined,13.25,20,5,50,15,211,500,132,271,Approved
Institution_1188,Non-Rural,UG,2.69,12,3,0,6,266,600,132,492,Approved
Institution_7239,Non-Rural,UG,2.73,16,4,0,4,273,450,132,342,Approved
Institution_6674,Rural,Diploma,9.53,12,3,0,12,200,400,132,271,Approved
Institution_2108,Rural,PG,7.83,20,5,50,20,241,550,132,499,Not Approved
Institution_2150,Non-Rural,PG,4.55,4,1,10,4,171,600,132,240,Approved
Institution_8357,Rural,Diploma,6.27,4,1,0,4,236,550,132,190,Approved
Institution_2357,Non-Rural,Diploma,1.54,16,4,0,12,77,600,132,299,Not Approved
Institution_2905,Rural,PG,6.27,8,2,20,4,276,550,132,161,Not Approved
Institution_3171,Non-Rural,Diploma,1.4,20,5,0,15,151,400,132,524,Not Approved
Institution_4565,Rural,UG,14.31,12,3,0,3,192,500,132,152,Approved
Institution_6753,Rural,PG,14.81,4,1,10,1,98,450,132,598,Not Approved
Institution_6686,Rural,UG,5.86,4,1,0,1,221,450,132,513,Not Approved
Institution_7919,Non-Rural,UG,3.64,8,2,0,8,169,650,132,123,Approved
Institution_8648,Rural,Combined,12.42,4,1,10,4,201,550,132,541,Approved
Institution_6197,Non-Rural,Combined,1.42,8,2,20,4,223,500,132,504,Approved
Institution_4582,Non-Rural,PG,3.43,16,4,40,4,182,650,132,512,Approved
Institution_9412,Non-Rural,UG,3.63,20,5,0,20,177,650,132,231,Approved
Institution_9772,Rural,Combined,6.91,12,3,30,6,106,500,132,319,Not Approved
Institution_9903,Rural,Combined,9.46,8,2,20,6,224,650,132,578,Approved
Institution_4942,Non-Rural,UG,4.89,20,5,0,20,212,450,132,198,Approved
Institution_7086,Rural,Diploma,6.64,16,4,0,8,210,500,132,359,Approved
Institution_3966,Non-Rural,Combined,3.31,4,1,10,1,209,400,132,346,Approved
Institution_1736,Rural,Combined,14.08,20,5,50,5,297,450,132,370,Approved
Institution_6098,Non-Rural,PG,1.42,16,4,40,4,142,400,132,129,Not Approved
Institution_6177,Non-Rural,Combined,2.13,16,4,40,12,276,650,132,427,Approved
Institution_9230,Non-Rural,UG,4.15,8,2,0,8,51,600,132,204,Not Approved
Institution_1368,Non-Rural,PG,3.02,12,3,30,3,238,450,132,129,Approved
Institution_5261,Rural,Combined,11.08,16,4,40,16,90,600,132,572,Not Approved
Institution_9515,Non-Rural,UG,4.35,8,2,0,2,132,500,132,566,Not Approved
Institution_4366,Rural,Diploma,3.13,8,2,0,6,193,450,132,208,Not Approved
Institution_1433,Rural,PG,7.93,12,3,30,3,248,450,132,395,Not Approved
Institution_4002,Non-Rural,PG,4.87,12,3,30,3,210,600,132,326,Approved
Institution_8553,Rural,PG,10.11,12,3,30,12,93,500,132,174,Not Approved
Institution_6223,Rural,Combined,6.56,20,5,50,20,243,550,132,134,Approved
Institution_1856,Non-Rural,Combined,1.81,20,5,50,15,143,450,132,252,Not Approved
Institution_2768,Rural,Combined,5.43,8,2,20,4,93,600,132,432,Not Approved
Institution_6921,Non-Rural,Combined,1.47,4,1,10,1,208,550,132,214,Approved
Institution_5086,Rural,PG,10.28,12,3,30,9,90,550,132,319,Not Approved
Institution_3800,Non-Rural,Combined,2.05,20,5,50,10,54,450,132,442,Not Approved
Institution_1783,Rural,PG,9.24,12,3,30,9,105,500,132,227,Not Approved
Institution_6809,Rural,Diploma,4.32,16,4,0,16,109,550,132,321,Not Approved
Institution_3221,Rural,Combined,11.76,16,4,40,12,109,550,132,301,Not Approved
Institution_6737,Rural,PG,13.4,16,4,40,8,99,400,132,269,Not Approved
Institution_2607,Non-Rural,Combined,1.61,16,4,40,8,276,650,132,190,Approved
Institution_9325,Rural,UG,13.43,20,5,0,5,71,500,132,195,Not Approved
Institution_7562,Rural,UG,10.11,20,5,0,15,63,450,132,351,Not Approved
Institution_5481,Rural,PG,10.78,12,3,30,9,286,600,132,557,Approved
Institution_1994,Rural,PG,8.26,12,3,30,3,194,650,132,446,Not Approved
Institution_5223,Rural,Combined,7.69,12,3,30,3,232,550,132,132,Approved
Institution_1734,Non-Rural,Combined,4.63,8,2,20,4,241,400,132,302,Approved
Institution_5710,Rural,Diploma,7.16,16,4,0,4,245,450,132,174,Approved
Institution_6295,Non-Rural,Diploma,0.76,20,5,0,10,110,500,132,125,Not Approved
Institution_4011,Non-Rural,PG,2.37,20,5,50,20,156,450,132,430,Not Approved
Institution_8835,Non-Rural,PG,1.58,12,3,30,12,237,500,132,310,Not Approved
Institution_6991,Non-Rural,Diploma,1.27,16,4,0,12,278,500,132,459,Not Approved
Institution_6987,Rural,PG,13.79,8,2,20,6,202,450,132,221,Approved
Institution_7665,Non-Rural,PG,1.64,20,5,50,20,272,400,132,246,Not Approved
Institution_9027,Rural,Diploma,4.33,4,1,0,1,278,400,132,419,Not Approved
Institution_4944,Rural,PG,14.94,20,5,50,15,243,400,132,519,Approved
Institution_9055,Rural,Diploma,2.52,20,5,0,20,196,450,132,416,Not Approved
Institution_1685,Non-Rural,PG,2.55,16,4,40,4,227,600,132,244,Approved
Institution_3084,Non-Rural,Combined,4.36,20,5,50,10,156,550,132,562,Approved
Institution_5014,Non-Rural,PG,3.28,8,2,20,6,194,400,132,343,Approved
Institution_8565,Non-Rural,UG,0.75,16,4,0,16,134,500,132,104,Not Approved
Institution_7092,Non-Rural,PG,1.77,8,2,20,2,285,500,132,200,Not Approved
Institution_4197,Non-Rural,Combined,2.05,8,2,20,8,116,450,132,265,Not Approved
Institution_1804,Non-Rural,Combined,0.94,8,2,20,8,166,550,132,108,Approved
Institution_8797,Non-Rural,Diploma,0.97,4,1,0,4,261,650,132,568,Not Approved
Institution_5576,Non-Rural,UG,2.95,20,5,0,20,276,550,132,450,Approved
Institution_1939,Non-Rural,PG,3.59,12,3,30,3,166,500,132,190,Approved
Institution_2181,Non-Rural,Diploma,0.9,16,4,0,8,209,550,132,134,Not Approved
Institution_1853,Non-Rural,PG,2.24,8,2,20,6,249,650,132,320,Not Approved
Institution_4860,Non-Rural,UG,3.86,20,5,0,15,277,450,132,213,Approved
Institution_7610,Non-Rural,Diploma,1.88,16,4,0,12,75,650,132,572,Not Approved
Institution_9670,Rural,UG,10.01,20,5,0,10,99,550,132,541,Not Approved
Institution_7660,Rural,PG,5.49,12,3,30,9,156,650,132,353,Not Approved
Institution_7856,Non-Rural,Combined,2.39,20,5,50,15,119,600,132,548,Not Approved
Institution_1859,Rural,Diploma,8.27,20,5,0,20,194,550,132,197,Approved
Institution_4181,Non-Rural,Combined,4.72,4,1,10,1,222,550,132,532,Approved
Institution_8554,Non-Rural,Combined,3.07,16,4,40,4,258,650,132,233,Approved
Institution_7236,Non-Rural,PG,2.07,4,1,10,2,239,500,132,541,Not Approved
Institution_4575,Non-Rural,Combined,3.07,20,5,50,10,288,450,132,409,Approved
Institution_5172,Non-Rural,PG,1.44,20,5,50,15,242,550,132,450,Not Approved
Institution_2636,Non-Rural,PG,2.03,12,3,30,3,56,650,132,539,Not Approved
Institution_7774,Non-Rural,Combined,4.22,4,1,10,1,299,500,132,294,Approved
Institution_7608,Non-Rural,UG,2.18,16,4,0,4,255,550,132,481,Not Approved
Institution_4766,Rural,UG,9.46,4,1,0,4,234,450,132,426,Not Approved
Institution_2717,Non-Rural,PG,1.13,20,5,50,10,200,650,132,395,Not Approved
Institution_9756,Non-Rural,Diploma,1.35,16,4,0,4,264,650,132,134,Not Approved
Institution_6719,Non-Rural,Combined,4.36,4,1,10,1,187,450,132,221,Approved
Institution_6963,Non-Rural,Diploma,0.54,8,2,0,6,211,500,132,557,Not Approved
Institution_8377,Rural,Combined,6.56,20,5,50,15,118,600,132,255,Not Approved
Institution_5625,Rural,UG,5.55,12,3,0,3,296,650,132,555,Not Approved
Institution_1044,Rural,PG,7.2,4,1,10,3,120,450,132,151,Not Approved
Institution_3136,Rural,Diploma,9.57,4,1,0,1,96,400,132,317,Not Approved
Institution_9783,Non-Rural,PG,1.06,4,1,10,2,264,650,132,285,Not Approved
Institution_1182,Non-Rural,UG,4.02,16,4,0,16,220,400,132,371,Approved
Institution_1272,Rural,PG,11.22,4,1,10,3,195,650,132,149,Approved
Institution_3558,Rural,Diploma,4.44,12,3,0,6,131,450,132,128,Not Approved
Institution_6368,Non-Rural,UG,1.78,4,1,0,4,221,550,132,335,Not Approved
Institution_1929,Non-Rural,Diploma,1.08,4,1,0,4,288,600,132,536,Not Approved
Institution_9431,Rural,UG,6.94,8,2,0,6,192,650,132,109,Not Approved
Institution_6933,Rural,PG,11.48,4,1,10,3,130,400,132,382,Not Approved
Institution_4415,Non-Rural,PG,1.18,4,1,10,4,152,450,132,256,Not Approved
Institution_4620,Non-Rural,PG,4.47,12,3,30,9,265,650,132,458,Approved
Institution_8328,Non-Rural,UG,2.73,4,1,0,4,133,600,132,340,Not Approved
Institution_9493,Rural,Diploma,4.69,4,1,0,4,123,550,132,294,Not Approved
Institution_5551,Non-Rural,PG,3.99,8,2,20,4,226,550,132,133,Approved
Institution_3381,Non-Rural,UG,3.7,4,1,0,2,265,650,132,217,Approved
Institution_3269,Non-Rural,PG,4.04,12,3,30,9,136,600,132,556,Not Approved
Institution_4679,Non-Rural,UG,1.62,20,5,0,5,264,400,132,258,Not Approved
Institution_1475,Rural,Diploma,9.24,12,3,0,6,215,400,132,158,Approved
Institution_9870,Non-Rural,PG,2.96,4,1,10,4,53,500,132,570,Not Approved
Institution_5024,Non-Rural,UG,2.89,12,3,0,12,257,650,132,258,Approved
Institution_5254,Rural,Diploma,9.7,20,5,0,5,150,400,132,220,Approved
Institution_4736,Non-Rural,PG,2.72,8,2,20,4,215,400,132,314,Approved
Institution_2441,Non-Rural,Combined,0.8,4,1,10,4,293,450,132,362,Approved
Institution_9670,Rural,Combined,10.74,12,3,30,12,151,450,132,249,Approved
Institution_5168,Rural,UG,14.84,4,1,0,1,239,500,132,366,Approved
Institution_9781,Non-Rural,Diploma,1.41,20,5,0,10,209,650,132,525,Not Approved
Institution_3910,Non-Rural,PG,2.23,12,3,30,9,253,450,132,252,Not Approved
Institution_2370,Non-Rural,Diploma,1.91,16,4,0,8,177,500,132,576,Approved
Institution_5845,Non-Rural,Diploma,1.27,4,1,0,2,298,400,132,491,Not Approved
Institution_9023,Non-Rural,Diploma,1.93,4,1,0,2,168,650,132,355,Approved
Institution_2620,Rural,UG,12.83,8,2,0,6,187,400,132,323,Approved
Institution_6074,Rural,Combined,10.55,20,5,50,15,169,550,132,178,Approved
Institution_3570,Rural,Combined,10.04,8,2,20,8,243,650,132,264,Approved
Institution_9649,Rural,UG,7.72,8,2,0,8,283,400,132,147,Not Approved
Institution_3023,Non-Rural,Diploma,0.75,12,3,0,6,276,500,132,142,Not Approved
Institution_3841,Rural,PG,11.59,20,5,50,10,156,450,132,135,Approved
Institution_6344,Rural,Combined,9.54,16,4,40,4,196,450,132,211,Approved
Institution_9240,Non-Rural,UG,4.72,20,5,0,20,243,650,132,551,Approved
Institution_3016,Non-Rural,Combined,3.32,20,5,50,5,299,450,132,295,Approved
Institution_3563,Non-Rural,UG,1.87,12,3,0,12,238,550,132,541,Not Approved
Institution_5785,Rural,Combined,14.61,4,1,10,2,83,400,132,476,Not Approved
Institution_9491,Rural,Diploma,8.29,12,3,0,6,241,400,132,405,Approved
Institution_4353,Rural,Combined,11.64,12,3,30,9,181,650,132,548,Approved
Institution_4292,Non-Rural,PG,4.15,8,2,20,4,241,550,132,225,Approved
Institution_8375,Non-Rural,Combined,4.52,8,2,20,2,139,500,132,423,Not Approved
Institution_4372,Non-Rural,PG,4.62,8,2,20,2,278,450,132,465,Approved
Institution_1232,Non-Rural,UG,4.14,8,2,0,8,96,550,132,372,Not Approved
Institution_6620,Non-Rural,PG,0.94,4,1,10,3,74,400,132,309,Not Approved
Institution_7899,Non-Rural,UG,1.26,8,2,0,2,198,550,132,190,Not Approved
Institution_9007,Non-Rural,UG,1.31,20,5,0,10,176,400,132,199,Not Approved
Institution_4762,Rural,PG,9.82,12,3,30,3,113,500,132,137,Not Approved
Institution_7878,Non-Rural,Diploma,1.6,20,5,0,20,187,450,132,486,Approved
Institution_9673,Non-Rural,Combined,0.96,12,3,30,12,83,650,132,545,Not Approved
Institution_8115,Non-Rural,Combined,4.4,12,3,30,9,112,400,132,279,Not Approved
Institution_9273,Rural,PG,6.59,16,4,40,16,272,650,132,145,Not Approved
Institution_3495,Non-Rural,UG,4.47,16,4,0,8,261,500,132,224,Approved
Institution_1664,Non-Rural,UG,1.89,4,1,0,2,112,600,132,380,Not Approved
Institution_4592,Rural,PG,10.02,12,3,30,12,177,500,132,593,Approved
Institution_4975,Non-Rural,UG,4.75,4,1,0,3,204,550,132,570,Approved
Institution_4769,Non-Rural,PG,1.24,20,5,50,20,294,500,132,528,Not Approved
Institution_2216,Rural,PG,14.7,4,1,10,2,261,450,132,530,Approved
Institution_4140,Rural,Diploma,9.46,4,1,0,3,87,600,132,220,Not Approved
Institution_7252,Non-Rural,UG,2.9,16,4,0,8,269,400,132,460,Approved
Institution_8412,Rural,Combined,14.71,16,4,40,12,275,600,132,208,Approved
Institution_1092,Rural,Diploma,5.8,16,4,0,8,283,650,132,544,Approved
Institution_8653,Non-Rural,PG,1.79,4,1,10,3,189,400,132,328,Not Approved
Institution_6693,Non-Rural,PG,4.24,8,2,20,4,107,400,132,364,Not Approved
Institution_7595,Non-Rural,PG,4.53,8,2,20,6,161,600,132,487,Approved
Institution_6207,Non-Rural,UG,3.86,12,3,0,3,195,650,132,294,Approved
Institution_4709,Rural,Combined,14.71,20,5,50,10,78,450,132,484,Not Approved
Institution_5072,Non-Rural,Combined,2.14,12,3,30,12,271,400,132,161,Approved
Institution_6474,Rural,Diploma,9.23,4,1,0,1,194,550,132,384,Approved
Institution_9848,Rural,PG,12.07,20,5,50,20,57,650,132,175,Not Approved
Institution_6419,Non-Rural,PG,1.31,12,3,30,3,289,550,132,111,Not Approved
Institution_1751,Non-Rural,UG,2.79,4,1,0,2,267,450,132,124,Approved
Institution_9818,Rural,UG,10.83,4,1,0,4,177,650,132,494,Approved
Institution_3704,Non-Rural,Combined,0.53,4,1,10,4,201,450,132,525,Approved
Institution_2305,Non-Rural,PG,1.81,8,2,20,6,263,550,132,437,Not Approved
Institution_1044,Non-Rural,Diploma,1.54,12,3,0,3,122,550,132,245,Not Approved
Institution_3184,Rural,Diploma,2.65,12,3,0,12,253,450,132,591,Not Approved
Institution_7624,Rural,UG,9.29,16,4,0,12,157,500,132,586,Not Approved
Institution_5208,Non-Rural,Diploma,0.53,20,5,0,5,169,600,132,377,Not Approved
Institution_7316,Non-Rural,UG,4.74,8,2,0,2,252,600,132,135,Approved
Institution_1660,Non-Rural,Diploma,1.96,4,1,0,3,257,650,132,571,Approved
Institution_6967,Non-Rural,Combined,2.07,4,1,10,2,296,400,132,287,Approved
Institution_4272,Rural,PG,8.08,8,2,20,6,172,400,132,398,Not Approved
Institution_9863,Rural,PG,9.1,12,3,30,9,233,400,132,469,Not Approved
Institution_7288,Non-Rural,UG,0.84,8,2,0,2,289,550,132,196,Not Approved
Institution_5319,Rural,Diploma,3.54,20,5,0,10,111,400,132,260,Not Approved
Institution_4291,Non-Rural,PG,2.09,12,3,30,12,82,650,132,386,Not Approved
Institution_1322,Rural,UG,14.94,12,3,0,12,184,600,132,331,Approved
Institution_2738,Non-Rural,Diploma,0.77,20,5,0,15,173,600,132,407,Not Approved
Institution_7079,Non-Rural,Diploma,0.77,8,2,0,2,202,650,132,520,Not Approved
Institution_8604,Rural,UG,8.14,4,1,0,4,293,400,132,214,Not Approved
Institution_1725,Non-Rural,Diploma,1.99,16,4,0,12,194,650,132,381,Approved
Institution_4147,Non-Rural,Combined,1.48,12,3,30,3,286,650,132,256,Approved
Institution_7895,Rural,Combined,9.5,4,1,10,4,113,600,132,307,Not Approved
Institution_7155,Rural,Diploma,3.22,20,5,0,5,237,550,132,261,Not Approved
Institution_7689,Rural,PG,14.45,4,1,10,3,271,650,132,198,Approved
Institution_8597,Non-Rural,Diploma,0.66,12,3,0,6,150,450,132,229,Not Approved
Institution_5060,Non-Rural,UG,3.46,4,1,0,3,83,650,132,513,Not Approved
Institution_3692,Rural,Combined,8.32,20,5,50,10,122,400,132,387,Not Approved
Institution_2025,Non-Rural,UG,2.26,20,5,0,10,285,550,132,449,Not Approved
Institution_3006,Non-Rural,UG,1.26,12,3,0,3,98,600,132,467,Not Approved
Institution_1506,Non-Rural,PG,3.92,20,5,50,15,298,500,132,216,Approved
Institution_4742,Non-Rural,UG,3.6,4,1,0,4,231,400,132,386,Approved
Institution_6469,Non-Rural,Combined,4.47,16,4,40,12,118,550,132,513,Not Approved
Institution_4951,Rural,UG,9.16,12,3,0,6,109,400,132,583,Not Approved
Institution_2477,Non-Rural,Diploma,0.73,4,1,0,3,95,400,132,384,Not Approved
Institution_9220,Non-Rural,PG,2.51,12,3,30,9,259,450,132,137,Approved
Institution_7918,Non-Rural,Diploma,0.66,8,2,0,6,233,400,132,397,Not Approved
Institution_1420,Non-Rural,Diploma,1.36,12,3,0,9,193,450,132,462,Not Approved
Institution_2541,Non-Rural,Combined,4.17,16,4,40,16,237,500,132,323,Approved
Institution_8363,Rural,UG,13.16,4,1,0,4,159,550,132,590,Approved
Institution_6154,Rural,Combined,10.66,8,2,20,2,132,450,132,155,Not Approved
Institution_2061,Non-Rural,Diploma,1.9,20,5,0,20,91,600,132,475,Not Approved
Institution_9775,Rural,Combined,14.88,12,3,30,9,166,550,132,596,Approved
Institution_4614,Non-Rural,Combined,3.84,16,4,40,8,267,600,132,238,Approved
Institution_9936,Rural,UG,12.1,8,2,0,4,214,600,132,354,Approved
Institution_5447,Non-Rural,Combined,4.93,20,5,50,10,80,600,132,154,Not Approved
Institution_6423,Rural,Diploma,5.79,4,1,0,3,267,400,132,123,Approved
Institution_6408,Non-Rural,Diploma,1.6,8,2,0,4,280,400,132,328,Approved
Institution_8212,Rural,PG,5.17,12,3,30,9,209,550,132,319,Not Approved
Institution_4223,Non-Rural,UG,3.37,8,2,0,8,105,450,132,182,Not Approved
Institution_9958,Rural,Diploma,2.62,12,3,0,9,168,500,132,234,Not Approved
Institution_7159,Rural,Diploma,7.06,12,3,0,3,124,650,132,162,Not Approved
Institution_2344,Rural,UG,7.88,4,1,0,2,161,650,132,435,Not Approved
Institution_7741,Rural,Diploma,9.42,4,1,0,1,235,450,132,179,Approved
Institution_5826,Rural,PG,9.9,12,3,30,6,91,550,132,225,Not Approved
Institution_4434,Non-Rural,Diploma,1.61,12,3,0,3,155,450,132,440,Approved
Institution_2111,Rural,Combined,13.75,12,3,30,3,176,650,132,212,Approved
Institution_8696,Rural,UG,8.01,20,5,0,10,170,650,132,296,Not Approved
Institution_5365,Non-Rural,PG,3.9,20,5,50,10,90,550,132,498,Not Approved
Institution_3196,Rural,Combined,6.05,16,4,40,16,187,650,132,468,Approved
Institution_8137,Non-Rural,Combined,1.74,20,5,50,15,293,450,132,210,Approved
Institution_6704,Rural,Diploma,4.09,20,5,0,5,74,400,132,170,Not Approved
Institution_7902,Rural,PG,12.59,20,5,50,5,92,600,132,324,Not Approved
